name	cat	ranks	pid	tid	eid	abs_start_us	abs_end_us	rel_start_us	rel_end_us	dur_us	op_type	input_dims	input_type
allgather_ring_8_8	op	[0, 1, 2, 3, 4, 5, 6, 7]	0	0	0	1760078726145073	1760078726145073	914842	914842	0	comm	1	torch.int64
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	2	1760078728558870	1760078728558870	3328639	3328639	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	3	1760078728559155	1760078728559155	3328924	3328924	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	4	1760078728583501	1760078728583501	3353271	3353271	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	5	1760078728583623	1760078728583623	3353392	3353392	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	7	1760078728585288	1760078728585288	3355057	3355057	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	8	1760078728617478	1760078728617478	3387247	3387247	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	11	1760078728663888	1760078728663888	3433657	3433657	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	12	1760078728663972	1760078728663972	3433741	3433741	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	14	1760078728666666	1760078728666666	3436435	3436435	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	16	1760078728692099	1760078728692099	3461869	3461869	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	17	1760078728692181	1760078728692181	3461950	3461950	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	19	1760078728700272	1760078728700272	3470041	3470041	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	20	1760078728701403	1760078728701403	3471173	3471173	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	21	1760078728704201	1760078728704201	3473970	3473970	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	22	1760078728705070	1760078728705070	3474839	3474839	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	25	1760078728729900	1760078728729900	3499669	3499669	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	26	1760078728729983	1760078728729983	3499752	3499752	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	27	1760078728730840	1760078728730840	3500610	3500610	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	28	1760078728730925	1760078728730925	3500694	3500694	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	30	1760078728731611	1760078728731611	3501381	3501381	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	31	1760078728731911	1760078728731911	3501680	3501680	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	34	1760078728741618	1760078728741618	3511388	3511388	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	35	1760078728741670	1760078728741670	3511439	3511439	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	37	1760078728743112	1760078728743112	3512881	3512881	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	39	1760078728745542	1760078728745542	3515311	3515311	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	40	1760078728745601	1760078728745601	3515371	3515371	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	42	1760078728746906	1760078728746906	3516675	3516675	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	43	1760078728747964	1760078728747964	3517734	3517734	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	44	1760078728749827	1760078728749827	3519596	3519596	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	45	1760078728750617	1760078728750617	3520386	3520386	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	48	1760078728752869	1760078728752869	3522638	3522638	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	49	1760078728752949	1760078728752949	3522718	3522718	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	50	1760078728753730	1760078728753730	3523499	3523499	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	51	1760078728753821	1760078728753821	3523590	3523590	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	53	1760078728754476	1760078728754476	3524245	3524245	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	54	1760078728754732	1760078728754732	3524502	3524502	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	57	1760078728811796	1760078728811796	3581566	3581566	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	58	1760078728811847	1760078728811847	3581616	3581616	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	60	1760078728812955	1760078728812955	3582725	3582725	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	62	1760078728815288	1760078728815288	3585057	3585057	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	63	1760078728815361	1760078728815361	3585130	3585130	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	65	1760078728816620	1760078728816620	3586389	3586389	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	66	1760078728817397	1760078728817397	3587166	3587166	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	67	1760078728819178	1760078728819178	3588948	3588948	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	68	1760078728819944	1760078728819944	3589714	3589714	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	71	1760078728822090	1760078728822090	3591859	3591859	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	72	1760078728822170	1760078728822170	3591939	3591939	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	73	1760078728822929	1760078728822929	3592698	3592698	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	74	1760078728823005	1760078728823005	3592774	3592774	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	76	1760078728823642	1760078728823642	3593411	3593411	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	77	1760078728823893	1760078728823893	3593662	3593662	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	80	1760078728881367	1760078728881367	3651136	3651136	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	81	1760078728881410	1760078728881410	3651179	3651179	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	83	1760078728882570	1760078728882570	3652339	3652339	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	85	1760078728885074	1760078728885074	3654844	3654844	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	86	1760078728885145	1760078728885145	3654914	3654914	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	88	1760078728886563	1760078728886563	3656332	3656332	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	89	1760078728887470	1760078728887470	3657239	3657239	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	90	1760078728889505	1760078728889505	3659274	3659274	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	91	1760078728890374	1760078728890374	3660144	3660144	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	94	1760078728892713	1760078728892713	3662482	3662482	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	95	1760078728892799	1760078728892799	3662568	3662568	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	96	1760078728893556	1760078728893556	3663326	3663326	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	97	1760078728893633	1760078728893633	3663402	3663402	0	comm	[1, 2048, 512]	torch.bfloat16
