name	cat	ranks	pid	tid	eid	abs_start_us	abs_end_us	rel_start_us	rel_end_us	dur_us	op_type	input_dims	input_type
allgather_ring_8_8	op	[0, 1, 2, 3, 4, 5, 6, 7]	0	0	0	1760078736079597	1760078736079597	807185	807185	0	comm	1	torch.int64
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	2	1760078740287014	1760078740287014	5014602	5014602	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	3	1760078740287492	1760078740287492	5015080	5015080	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	4	1760078740330801	1760078740330801	5058389	5058389	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	5	1760078740331039	1760078740331039	5058627	5058627	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	7	1760078740334301	1760078740334301	5061888	5061888	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	8	1760078740394403	1760078740394403	5121991	5121991	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	11	1760078740490154	1760078740490154	5217741	5217741	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	12	1760078740490344	1760078740490344	5217931	5217931	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	14	1760078740494837	1760078740494837	5222424	5222424	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	16	1760078740521264	1760078740521264	5248852	5248852	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	17	1760078740521351	1760078740521351	5248939	5248939	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	19	1760078740530821	1760078740530821	5258409	5258409	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	20	1760078740532049	1760078740532049	5259637	5259637	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	21	1760078740535106	1760078740535106	5262693	5262693	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	22	1760078740536116	1760078740536116	5263703	5263703	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	25	1760078740566209	1760078740566209	5293797	5293797	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	26	1760078740566373	1760078740566373	5293961	5293961	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	27	1760078740568044	1760078740568044	5295632	5295632	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	28	1760078740568215	1760078740568215	5295803	5295803	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	30	1760078740569514	1760078740569514	5297102	5297102	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	31	1760078740570069	1760078740570069	5297657	5297657	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	34	1760078740582355	1760078740582355	5309943	5309943	0	comm	1	torch.float32
allreduce_ring_4_1	op	[0, 1, 2, 3]	0	0	35	1760078740582440	1760078740582440	5310028	5310028	0	comm	1	torch.float32
allgather_ring_4_4	op	[0, 1, 2, 3]	0	0	37	1760078740584163	1760078740584163	5311751	5311751	0	comm	[1, 2048, 2048]	torch.bfloat16
